msg_id,app_protocol,src_app,dst_app,message,timestamp
1,HTTPS,client_browser,web_server,GET /index.html HTTP/1.1,0
2,HTTPS,web_server,client_browser,HTTP/1.1 200 OK,0.015
3,HTTPS,client_browser,web_server,GET /style.css HTTP/1.1,0.025
4,HTTPS,web_server,client_browser,HTTP/1.1 200 OK,0.042
5,HTTPS,client_browser,web_server,GET /script.js HTTP/1.1,0.058
6,HTTPS,web_server,client_browser,HTTP/1.1 200 OK,0.075
7,HTTPS,client_browser,web_server,GET /logo.png HTTP/1.1,0.092
8,HTTPS,web_server,client_browser,HTTP/1.1 200 OK,0.11
9,HTTPS,client_browser,web_server,POST /api/login HTTP/1.1,0.128
10,HTTPS,web_server,client_browser,HTTP/1.1 200 OK,0.145
11,HTTPS,client_browser,web_server,GET /dashboard HTTP/1.1,0.162
12,HTTPS,web_server,client_browser,HTTP/1.1 200 OK,0.18
13,HTTPS,client_browser,web_server,GET /user/profile HTTP/1.1,0.198
14,HTTPS,web_server,client_browser,HTTP/1.1 200 OK,0.215
15,HTTPS,client_browser,web_server,POST /api/data HTTP/1.1,0.233
16,HTTPS,web_server,client_browser,HTTP/1.1 201 Created,0.25
17,HTTPS,client_browser,web_server,GET /notifications HTTP/1.1,0.268
18,HTTPS,web_server,client_browser,HTTP/1.1 200 OK,0.285
19,HTTPS,client_browser,web_server,PUT /api/settings HTTP/1.1,0.303
20,HTTPS,web_server,client_browser,HTTP/1.1 200 OK,0.32
21,HTTPS,client_browser,web_server,GET /images/avatar.jpg HTTP/1.1,0.338
22,HTTPS,web_server,client_browser,HTTP/1.1 200 OK,0.356
23,HTTPS,client_browser,web_server,GET /api/messages HTTP/1.1,0.379
24,HTTPS,web_server,client_browser,HTTP/1.1 200 OK,0.399
25,HTTPS,client_browser,web_server,POST /api/logout HTTP/1.1,0.42
26,HTTPS,web_server,client_browser,HTTP/1.1 200 OK,0.443
27,HTTPS,client_browser,web_server,GET /login.html HTTP/1.1,0.464
28,HTTPS,web_server,client_browser,HTTP/1.1 200 OK,0.486
29,HTTPS,client_browser,web_server,GET /css/login.css HTTP/1.1,0.506
30,HTTPS,web_server,client_browser,HTTP/1.1 200 OK,0.527
31,HTTPS,client_browser,web_server,GET /js/login_validation.js HTTP/1.1,0.548
32,HTTPS,web_server,client_browser,HTTP/1.1 200 OK,0.566
33,HTTPS,client_browser,web_server,POST /api/login_attempt HTTP/1.1,0.589
34,HTTPS,web_server,client_browser,HTTP/1.1 401 Unauthorized,0.607
35,HTTPS,client_browser,web_server,GET /forgot_password HTTP/1.1,0.629
